,position,driver_number,date,session_key,meeting_key
0,1,1,2023-07-28T11:15:04.686000+00:00,9134,1216
1,2,2,2023-07-28T11:15:04.686000+00:00,9134,1216
2,3,3,2023-07-28T11:15:04.686000+00:00,9134,1216
3,4,4,2023-07-28T11:15:04.686000+00:00,9134,1216
4,5,10,2023-07-28T11:15:04.686000+00:00,9134,1216
5,6,11,2023-07-28T11:15:04.686000+00:00,9134,1216
6,7,14,2023-07-28T11:15:04.686000+00:00,9134,1216
7,8,16,2023-07-28T11:15:04.686000+00:00,9134,1216
8,9,18,2023-07-28T11:15:04.686000+00:00,9134,1216
9,10,20,2023-07-28T11:15:04.686000+00:00,9134,1216
10,11,22,2023-07-28T11:15:04.686000+00:00,9134,1216
11,12,23,2023-07-28T11:15:04.686000+00:00,9134,1216
12,13,24,2023-07-28T11:15:04.686000+00:00,9134,1216
13,14,27,2023-07-28T11:15:04.686000+00:00,9134,1216
14,15,31,2023-07-28T11:15:04.686000+00:00,9134,1216
15,16,44,2023-07-28T11:15:04.686000+00:00,9134,1216
16,17,55,2023-07-28T11:15:04.686000+00:00,9134,1216
17,18,63,2023-07-28T11:15:04.686000+00:00,9134,1216
18,19,77,2023-07-28T11:15:04.686000+00:00,9134,1216
19,20,81,2023-07-28T11:15:04.686000+00:00,9134,1216
20,2,1,2023-07-28T11:30:08.451000+00:00,9134,1216
21,3,2,2023-07-28T11:30:08.451000+00:00,9134,1216
22,4,3,2023-07-28T11:30:08.451000+00:00,9134,1216
23,5,4,2023-07-28T11:30:08.451000+00:00,9134,1216
24,6,10,2023-07-28T11:30:08.451000+00:00,9134,1216
25,7,11,2023-07-28T11:30:08.451000+00:00,9134,1216
26,8,14,2023-07-28T11:30:08.451000+00:00,9134,1216
27,9,16,2023-07-28T11:30:08.451000+00:00,9134,1216
28,10,18,2023-07-28T11:30:08.451000+00:00,9134,1216
29,11,20,2023-07-28T11:30:08.451000+00:00,9134,1216
30,12,22,2023-07-28T11:30:08.451000+00:00,9134,1216
31,1,23,2023-07-28T11:30:08.451000+00:00,9134,1216
32,3,1,2023-07-28T11:31:09.950000+00:00,9134,1216
33,2,2,2023-07-28T11:31:09.950000+00:00,9134,1216
34,4,1,2023-07-28T11:31:20.497000+00:00,9134,1216
35,5,3,2023-07-28T11:31:20.497000+00:00,9134,1216
36,6,4,2023-07-28T11:31:20.497000+00:00,9134,1216
37,7,10,2023-07-28T11:31:20.497000+00:00,9134,1216
38,8,11,2023-07-28T11:31:20.497000+00:00,9134,1216
39,9,14,2023-07-28T11:31:20.497000+00:00,9134,1216
40,10,16,2023-07-28T11:31:20.497000+00:00,9134,1216
41,11,18,2023-07-28T11:31:20.497000+00:00,9134,1216
42,12,20,2023-07-28T11:31:20.497000+00:00,9134,1216
43,13,22,2023-07-28T11:31:20.497000+00:00,9134,1216
44,14,24,2023-07-28T11:31:20.497000+00:00,9134,1216
45,15,27,2023-07-28T11:31:20.497000+00:00,9134,1216
46,16,31,2023-07-28T11:31:20.497000+00:00,9134,1216
47,3,44,2023-07-28T11:31:20.497000+00:00,9134,1216
48,5,1,2023-07-28T11:31:54.184000+00:00,9134,1216
49,6,3,2023-07-28T11:31:54.184000+00:00,9134,1216
50,7,4,2023-07-28T11:31:54.184000+00:00,9134,1216
51,8,10,2023-07-28T11:31:54.184000+00:00,9134,1216
52,9,11,2023-07-28T11:31:54.184000+00:00,9134,1216
53,10,14,2023-07-28T11:31:54.184000+00:00,9134,1216
54,11,16,2023-07-28T11:31:54.184000+00:00,9134,1216
55,12,18,2023-07-28T11:31:54.184000+00:00,9134,1216
56,13,20,2023-07-28T11:31:54.184000+00:00,9134,1216
57,14,22,2023-07-28T11:31:54.184000+00:00,9134,1216
58,15,24,2023-07-28T11:31:54.184000+00:00,9134,1216
59,16,27,2023-07-28T11:31:54.184000+00:00,9134,1216
60,17,31,2023-07-28T11:31:54.184000+00:00,9134,1216
61,18,55,2023-07-28T11:31:54.184000+00:00,9134,1216
62,4,63,2023-07-28T11:31:54.184000+00:00,9134,1216
63,6,1,2023-07-28T11:32:00.652000+00:00,9134,1216
64,7,3,2023-07-28T11:32:00.652000+00:00,9134,1216
65,8,4,2023-07-28T11:32:00.652000+00:00,9134,1216
66,9,10,2023-07-28T11:32:00.652000+00:00,9134,1216
67,10,11,2023-07-28T11:32:00.652000+00:00,9134,1216
68,11,14,2023-07-28T11:32:00.652000+00:00,9134,1216
69,12,16,2023-07-28T11:32:00.652000+00:00,9134,1216
70,13,18,2023-07-28T11:32:00.652000+00:00,9134,1216
71,14,20,2023-07-28T11:32:00.652000+00:00,9134,1216
72,5,22,2023-07-28T11:32:00.652000+00:00,9134,1216
73,7,1,2023-07-28T11:32:07.684000+00:00,9134,1216
74,8,3,2023-07-28T11:32:07.684000+00:00,9134,1216
75,9,4,2023-07-28T11:32:07.684000+00:00,9134,1216
76,10,10,2023-07-28T11:32:07.684000+00:00,9134,1216
77,11,11,2023-07-28T11:32:07.684000+00:00,9134,1216
78,12,14,2023-07-28T11:32:07.684000+00:00,9134,1216
79,13,16,2023-07-28T11:32:07.684000+00:00,9134,1216
80,14,18,2023-07-28T11:32:07.684000+00:00,9134,1216
81,15,20,2023-07-28T11:32:07.684000+00:00,9134,1216
82,16,24,2023-07-28T11:32:07.684000+00:00,9134,1216
83,17,27,2023-07-28T11:32:07.684000+00:00,9134,1216
84,18,31,2023-07-28T11:32:07.684000+00:00,9134,1216
85,19,55,2023-07-28T11:32:07.684000+00:00,9134,1216
86,6,77,2023-07-28T11:32:07.684000+00:00,9134,1216
87,8,1,2023-07-28T11:32:28.058000+00:00,9134,1216
88,7,3,2023-07-28T11:32:28.058000+00:00,9134,1216
89,9,1,2023-07-28T11:32:39.089000+00:00,9134,1216
90,10,4,2023-07-28T11:32:39.089000+00:00,9134,1216
91,11,10,2023-07-28T11:32:39.089000+00:00,9134,1216
92,12,11,2023-07-28T11:32:39.089000+00:00,9134,1216
93,13,14,2023-07-28T11:32:39.089000+00:00,9134,1216
94,14,16,2023-07-28T11:32:39.089000+00:00,9134,1216
95,15,18,2023-07-28T11:32:39.089000+00:00,9134,1216
96,16,20,2023-07-28T11:32:39.089000+00:00,9134,1216
97,8,24,2023-07-28T11:32:39.089000+00:00,9134,1216
98,10,1,2023-07-28T11:32:42.574000+00:00,9134,1216
99,11,4,2023-07-28T11:32:42.574000+00:00,9134,1216
100,12,10,2023-07-28T11:32:42.574000+00:00,9134,1216
101,13,11,2023-07-28T11:32:42.574000+00:00,9134,1216
102,14,14,2023-07-28T11:32:42.574000+00:00,9134,1216
103,15,16,2023-07-28T11:32:42.574000+00:00,9134,1216
104,16,18,2023-07-28T11:32:42.574000+00:00,9134,1216
105,17,20,2023-07-28T11:32:42.574000+00:00,9134,1216
106,9,27,2023-07-28T11:32:42.574000+00:00,9134,1216
107,11,1,2023-07-28T11:33:02.948000+00:00,9134,1216
108,12,4,2023-07-28T11:33:02.948000+00:00,9134,1216
109,13,10,2023-07-28T11:33:02.948000+00:00,9134,1216
110,14,11,2023-07-28T11:33:02.948000+00:00,9134,1216
111,15,14,2023-07-28T11:33:02.948000+00:00,9134,1216
112,16,16,2023-07-28T11:33:02.948000+00:00,9134,1216
113,17,18,2023-07-28T11:33:02.948000+00:00,9134,1216
114,10,20,2023-07-28T11:33:02.948000+00:00,9134,1216
115,12,1,2023-07-28T11:34:17.900000+00:00,9134,1216
116,13,4,2023-07-28T11:34:17.900000+00:00,9134,1216
117,14,10,2023-07-28T11:34:17.900000+00:00,9134,1216
118,15,11,2023-07-28T11:34:17.900000+00:00,9134,1216
119,16,14,2023-07-28T11:34:17.900000+00:00,9134,1216
120,17,16,2023-07-28T11:34:17.900000+00:00,9134,1216
121,11,18,2023-07-28T11:34:17.900000+00:00,9134,1216
122,3,2,2023-07-28T11:36:00.430000+00:00,9134,1216
123,2,44,2023-07-28T11:36:00.430000+00:00,9134,1216
124,4,2,2023-07-28T11:36:20.960000+00:00,9134,1216
125,2,22,2023-07-28T11:36:20.960000+00:00,9134,1216
126,3,44,2023-07-28T11:36:20.960000+00:00,9134,1216
127,5,63,2023-07-28T11:36:20.960000+00:00,9134,1216
128,5,2,2023-07-28T11:36:57.132000+00:00,9134,1216
129,4,63,2023-07-28T11:36:57.132000+00:00,9134,1216
130,6,2,2023-07-28T11:37:07.632000+00:00,9134,1216
131,5,3,2023-07-28T11:37:07.632000+00:00,9134,1216
132,7,77,2023-07-28T11:37:07.632000+00:00,9134,1216
133,7,2,2023-07-28T11:37:12.709000+00:00,9134,1216
134,6,3,2023-07-28T11:37:12.709000+00:00,9134,1216
135,5,24,2023-07-28T11:37:12.709000+00:00,9134,1216
136,8,77,2023-07-28T11:37:12.709000+00:00,9134,1216
137,13,1,2023-07-28T11:44:54.062000+00:00,9134,1216
138,14,4,2023-07-28T11:44:54.062000+00:00,9134,1216
139,15,10,2023-07-28T11:44:54.062000+00:00,9134,1216
140,16,11,2023-07-28T11:44:54.062000+00:00,9134,1216
141,17,14,2023-07-28T11:44:54.062000+00:00,9134,1216
142,18,16,2023-07-28T11:44:54.062000+00:00,9134,1216
143,19,31,2023-07-28T11:44:54.062000+00:00,9134,1216
144,12,55,2023-07-28T11:44:54.062000+00:00,9134,1216
145,14,1,2023-07-28T11:47:01.310000+00:00,9134,1216
146,13,4,2023-07-28T11:47:01.310000+00:00,9134,1216
147,15,1,2023-07-28T11:47:23.482000+00:00,9134,1216
148,16,10,2023-07-28T11:47:23.482000+00:00,9134,1216
149,14,11,2023-07-28T11:47:23.482000+00:00,9134,1216
150,16,1,2023-07-28T11:48:16.637000+00:00,9134,1216
151,17,10,2023-07-28T11:48:16.637000+00:00,9134,1216
152,18,14,2023-07-28T11:48:16.637000+00:00,9134,1216
153,19,16,2023-07-28T11:48:16.637000+00:00,9134,1216
154,20,31,2023-07-28T11:48:16.637000+00:00,9134,1216
155,15,81,2023-07-28T11:48:16.637000+00:00,9134,1216
156,17,1,2023-07-28T11:48:17.637000+00:00,9134,1216
157,16,10,2023-07-28T11:48:17.637000+00:00,9134,1216
158,18,1,2023-07-28T11:48:30.168000+00:00,9134,1216
159,19,14,2023-07-28T11:48:30.168000+00:00,9134,1216
160,20,16,2023-07-28T11:48:30.168000+00:00,9134,1216
161,17,31,2023-07-28T11:48:30.168000+00:00,9134,1216
162,19,1,2023-07-28T11:48:55.324000+00:00,9134,1216
163,20,14,2023-07-28T11:48:55.324000+00:00,9134,1216
164,18,16,2023-07-28T11:48:55.324000+00:00,9134,1216
165,20,1,2023-07-28T11:49:06.714000+00:00,9134,1216
166,19,14,2023-07-28T11:49:06.714000+00:00,9134,1216
167,8,2,2023-07-28T11:49:11.495000+00:00,9134,1216
168,7,3,2023-07-28T11:49:11.495000+00:00,9134,1216
169,12,18,2023-07-28T11:49:11.495000+00:00,9134,1216
170,11,20,2023-07-28T11:49:11.495000+00:00,9134,1216
171,3,22,2023-07-28T11:49:11.495000+00:00,9134,1216
172,6,24,2023-07-28T11:49:11.495000+00:00,9134,1216
173,10,27,2023-07-28T11:49:11.495000+00:00,9134,1216
174,4,44,2023-07-28T11:49:11.495000+00:00,9134,1216
175,2,55,2023-07-28T11:49:11.495000+00:00,9134,1216
176,5,63,2023-07-28T11:49:11.495000+00:00,9134,1216
177,9,77,2023-07-28T11:49:11.495000+00:00,9134,1216
178,9,2,2023-07-28T11:52:04.227000+00:00,9134,1216
179,14,4,2023-07-28T11:52:04.227000+00:00,9134,1216
180,8,11,2023-07-28T11:52:04.227000+00:00,9134,1216
181,13,18,2023-07-28T11:52:04.227000+00:00,9134,1216
182,12,20,2023-07-28T11:52:04.227000+00:00,9134,1216
183,11,27,2023-07-28T11:52:04.227000+00:00,9134,1216
184,10,77,2023-07-28T11:52:04.227000+00:00,9134,1216
185,2,22,2023-07-28T11:53:08.616000+00:00,9134,1216
186,3,55,2023-07-28T11:53:08.616000+00:00,9134,1216
187,10,2,2023-07-28T11:53:33.459000+00:00,9134,1216
188,8,3,2023-07-28T11:53:33.459000+00:00,9134,1216
189,15,4,2023-07-28T11:53:33.459000+00:00,9134,1216
190,17,10,2023-07-28T11:53:33.459000+00:00,9134,1216
191,9,11,2023-07-28T11:53:33.459000+00:00,9134,1216
192,1,16,2023-07-28T11:53:33.459000+00:00,9134,1216
193,14,18,2023-07-28T11:53:33.459000+00:00,9134,1216
194,13,20,2023-07-28T11:53:33.459000+00:00,9134,1216
195,3,22,2023-07-28T11:53:33.459000+00:00,9134,1216
196,2,23,2023-07-28T11:53:33.459000+00:00,9134,1216
197,7,24,2023-07-28T11:53:33.459000+00:00,9134,1216
198,12,27,2023-07-28T11:53:33.459000+00:00,9134,1216
199,18,31,2023-07-28T11:53:33.459000+00:00,9134,1216
200,5,44,2023-07-28T11:53:33.459000+00:00,9134,1216
201,4,55,2023-07-28T11:53:33.459000+00:00,9134,1216
202,6,63,2023-07-28T11:53:33.459000+00:00,9134,1216
203,11,77,2023-07-28T11:53:33.459000+00:00,9134,1216
204,16,81,2023-07-28T11:53:33.459000+00:00,9134,1216
205,11,2,2023-07-28T11:53:57.006000+00:00,9134,1216
