meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q
1229,1,93.238,830.175,171.149,21.0,4.0,4.0,380.0,0,4.7,19.373,34.216,100.0,5406.0,11890.0,10151.0,100.0,69.0,63.0,315.0,207.0,90.851,520.434,138.361,25.0,3.0,3.0,395.0,0,4.0,18.658,26.748,100.0,4933.0,12006.0,10205.0,100.0,74.0,67.0,316.0,213.0,91.062,820.775,176.733,16.0,3.0,3.0,442.2,0.0,4.0,20.26,32.013,100.0,5003.0,11982.0,10124.0,100.0,71.0,67.0,317.0,212.0,89.179,599.424,201.374,17.0,6.0,6.0,305.4,0.0,3.1,18.049,21.514,100.0,5099.0,11999.0,10292.0,100.0,73.0,71.0,322.0,216.0
1229,2,94.213,1318.522,176.768,19.0,3.0,3.0,615.6,0,4.7,19.373,34.216,100.0,4490.0,11982.0,9945.0,100.0,68.0,63.0,312.0,203.0,91.715,514.436,145.23,27.0,6.0,6.0,198.6,0,4.0,18.658,26.748,100.0,4574.0,11937.0,10212.0,100.0,74.0,65.0,315.0,214.0,92.125,525.855,170.735,16.0,6.0,6.0,167.8,0.0,4.0,20.26,32.013,100.0,4575.0,12141.0,10116.0,100.0,70.0,64.0,315.0,209.0,90.77,317.854,146.843,6.0,2.0,2.0,183.8,0.0,3.1,18.049,21.514,100.0,4793.0,12171.0,10187.0,100.0,71.0,67.0,318.0,212.0
1229,3,92.869,781.772,168.874,23.0,4.0,4.0,405.2,0,4.7,19.373,34.216,100.0,5944.0,12247.0,10508.0,100.0,71.0,68.0,310.0,207.0,91.516,792.083,146.162,26.0,3.0,3.0,508.6,0,4.0,18.658,26.748,100.0,5866.0,12261.0,10515.0,100.0,70.0,65.0,317.0,212.0,91.449,1045.06,199.849,13.0,4.0,4.0,325.6,0.0,4.0,20.26,32.013,100.0,5870.0,12343.0,10522.0,100.0,71.0,68.0,315.0,210.0,90.278,547.36,185.558,12.0,4.0,4.0,278.3,0.0,3.1,18.049,21.514,100.0,6129.0,12286.0,10546.0,100.0,72.0,70.0,317.0,213.0
1229,4,92.901,738.942,156.127,25.0,4.0,4.0,353.9,0,4.7,19.373,34.216,100.0,5687.0,12041.0,10422.0,99.0,69.0,63.0,307.0,210.0,92.608,749.245,154.449,25.0,4.0,4.0,390.4,0,4.0,18.658,26.748,100.0,5841.0,12290.0,10299.0,98.0,66.0,67.0,311.0,207.0,91.118,684.185,253.398,12.0,4.0,4.0,517.2,0.0,4.0,20.26,32.013,100.0,5963.0,12085.0,10314.0,98.0,67.0,71.0,310.0,213.0,89.614,661.864,234.359,15.0,6.0,6.0,333.9,0.0,3.1,18.049,21.514,100.0,6334.0,12377.0,10525.0,99.0,70.0,75.0,314.0,215.0
1229,10,95.144,794.169,163.886,24.0,4.0,4.0,393.7,0,4.7,19.373,34.216,100.0,5454.0,12068.0,10164.0,100.0,69.0,63.0,310.0,202.0,91.951,918.088,157.23,25.0,4.0,4.0,385.5,0,4.0,18.658,26.748,100.0,5719.0,11963.0,10240.0,100.0,71.0,68.0,313.0,208.0,92.382,897.579,179.313,14.0,3.0,3.0,402.5,0.0,4.0,20.26,32.013,100.0,5772.0,12020.0,10218.0,100.0,71.0,66.0,314.0,209.0,90.948,266.382,142.48,9.0,3.0,3.0,147.2,0.0,3.1,18.049,21.514,100.0,5474.0,12074.0,10263.0,100.0,72.0,64.0,317.0,213.0
1229,11,93.413,730.268,164.226,24.0,5.0,5.0,279.6,0,4.7,19.373,34.216,100.0,5740.0,12452.0,10342.0,100.0,70.0,65.0,312.0,206.0,91.115,761.153,148.852,26.0,4.0,4.0,362.9,0,4.0,18.658,26.748,100.0,5930.0,11839.0,10407.0,100.0,73.0,67.0,318.0,211.0,91.248,677.172,177.822,17.0,5.0,5.0,220.4,0.0,4.0,20.26,32.013,100.0,5535.0,11900.0,10177.0,100.0,70.0,68.0,314.0,211.0,89.537,567.302,206.608,17.0,6.0,6.0,302.0,0.0,3.1,18.049,21.514,100.0,5695.0,11858.0,10212.0,100.0,72.0,67.0,321.0,216.0
1229,14,93.193,922.877,192.053,20.0,4.0,4.0,469.3,0,4.7,19.373,34.216,100.0,4801.0,11857.0,9963.0,100.0,69.0,64.0,311.0,205.0,90.66,655.417,171.574,22.0,4.0,4.0,444.7,0,4.0,18.658,26.748,100.0,5190.0,11783.0,10106.0,100.0,71.0,60.0,317.0,213.0,90.965,557.379,154.152,18.0,4.0,4.0,236.8,0.0,4.0,20.26,32.013,100.0,5341.0,11799.0,10210.0,100.0,71.0,67.0,314.0,213.0,89.542,802.89,231.505,14.0,5.0,5.0,384.9,0.0,3.1,18.049,21.514,100.0,5135.0,11999.0,10269.0,100.0,73.0,64.0,315.0,216.0
1229,16,93.268,888.191,161.351,24.0,4.0,4.0,370.1,0,4.7,19.373,34.216,100.0,5550.0,12128.0,10177.0,99.0,70.0,66.0,312.0,207.0,91.113,590.536,148.184,26.0,4.0,4.0,319.0,0,4.0,18.658,26.748,100.0,5682.0,12129.0,10354.0,100.0,74.0,69.0,316.0,214.0,91.094,789.228,191.598,17.0,4.0,4.0,408.3,0.0,4.0,20.26,32.013,100.0,5411.0,12053.0,10301.0,100.0,74.0,67.0,314.0,212.0,89.165,736.725,202.377,19.0,7.0,7.0,280.4,0.0,3.1,18.049,21.514,100.0,5703.0,12137.0,10371.0,99.0,74.0,65.0,319.0,216.0
1229,18,93.868,795.49,184.618,20.0,3.0,3.0,640.8,0,4.7,19.373,34.216,100.0,5142.0,12343.0,10003.0,100.0,70.0,66.0,310.0,206.0,90.891,564.501,142.23,26.0,3.0,3.0,418.8,0,4.0,18.658,26.748,100.0,5257.0,11916.0,10160.0,100.0,72.0,62.0,317.0,213.0,91.396,863.105,173.901,17.0,4.0,4.0,327.9,0.0,4.0,20.26,32.013,100.0,5543.0,12104.0,10278.0,100.0,71.0,67.0,315.0,210.0,89.965,524.486,180.332,12.0,4.0,4.0,260.0,0.0,3.1,18.049,21.514,100.0,5111.0,12212.0,10262.0,100.0,71.0,68.0,319.0,214.0
1229,20,97.477,1399.903,158.471,25.0,3.0,3.0,642.5,0,4.7,19.373,34.216,100.0,5590.0,12090.0,10065.0,100.0,65.0,71.0,293.0,198.0,91.764,557.663,144.278,27.0,3.0,3.0,447.5,0,4.0,18.658,26.748,100.0,5858.0,12274.0,10263.0,100.0,70.0,75.0,319.0,213.0,91.671,826.665,152.604,20.0,4.0,4.0,259.6,0.0,4.0,20.26,32.013,100.0,6422.0,11902.0,10446.0,100.0,72.0,72.0,316.0,213.0,90.529,535.679,178.288,12.0,4.0,4.0,264.8,0.0,3.1,18.049,21.514,100.0,5558.0,12205.0,10439.0,100.0,72.0,74.0,321.0,214.0
