meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1219,1,93.476,929.091,176.562,22,3,2,592.2,0,3.2,31.448,42.999,100,5608,12150,9972,100,64.0,67,311,190,92.852,786.876,171.799,23,3,2.0,544.2,0,2.2,30.03,36.64,100,5473,12188,9965,100,65.0,61,310,185,92.378,805.972,182.811,21,6,5,260.9,0,3.2,31.029,38.204,100,5391,12307,10074,100,67.0,67,311,190,92.173,2115.948,308.374,14,4,3,823.7,0,2.7,29.519,34.153,100,5655,12352,10050,100,65.0,69,311,191
1219,2,95.778,604.895,159.388,24,4,3,323.3,0,3.2,31.448,42.999,100,5861,12425,9880,100,61.0,63,311,187,94.327,557.056,143.34,28,5,4.0,208.6,0,2.2,30.03,36.64,100,5683,12616,9981,100,61.0,66,314,185,93.708,646.414,184.457,16,4,3,308.0,0,3.2,31.029,38.204,100,5712,12667,9907,100,62.0,68,312,187,93.252,258.291,135.24,9,3,2,91.7,0,2.7,29.519,34.153,100,5395,12409,9844,100,62.0,67,314,187
1219,4,93.522,767.65,163.888,24,4,3,386.2,0,3.2,31.448,42.999,100,6066,12436,10285,100,62.0,68,308,189,92.711,910.25,169.101,23,4,3.0,414.6,0,2.2,30.03,36.64,100,6019,12212,10368,100,63.0,68,310,190,92.303,630.151,204.948,17,4,3,437.3,0,3.2,31.029,38.204,100,6031,12259,10391,100,64.0,66,312,192,91.27,2030.401,285.552,20,6,5,587.9,0,2.7,29.519,34.153,100,5485,12167,10423,100,64.0,64,313,193
1219,10,94.639,653.289,166.745,23,4,3,337.1,0,3.2,31.448,42.999,100,5728,12102,10174,100,64.0,67,304,185,93.824,764.774,162.121,24,3,2.0,496.0,0,2.2,30.03,36.64,100,5607,12062,10052,100,66.0,66,309,188,93.351,1042.984,188.565,19,3,2,573.5,0,3.2,31.029,38.204,100,5229,12224,10022,100,64.0,64,310,187,92.274,2110.771,338.008,12,4,3,772.7,0,2.7,29.519,34.153,100,5851,12041,10148,100,66.0,71,310,193
1219,11,93.725,738.147,176.192,22,3,2,519.4,0,3.2,31.448,42.999,100,5711,12117,9912,100,63.0,65,311,186,92.812,819.405,170.759,23,4,3.0,366.5,0,2.2,30.03,36.64,100,5447,11837,9942,100,66.0,68,310,189,92.784,728.876,191.155,20,5,4,297.5,0,3.2,31.029,38.204,100,5084,12536,10001,100,65.0,66,312,189,92.099,2043.241,334.799,13,4,3,812.8,0,2.7,29.519,34.153,100,6291,12030,10221,100,67.0,69,313,191
1219,14,93.974,542.322,140.642,28,4,3,252.4,0,3.2,31.448,42.999,100,6531,11782,10218,100,64.0,61,309,189,92.478,671.915,155.867,25,4,3.0,328.0,0,2.2,30.03,36.64,104,5167,11914,10205,100,64.0,60,313,191,93.051,771.029,171.639,19,3,2,463.2,0,3.2,31.029,38.204,100,5688,11935,10168,100,63.0,67,310,188,91.615,2173.992,323.845,17,6,5,614.4,0,2.7,29.519,34.153,100,5352,11910,10170,100,66.0,67,312,193
1219,16,93.35,570.776,154.333,25,4,3,224.7,0,3.2,31.448,42.999,100,5784,12154,10226,100,67.0,66,310,190,92.138,516.013,142.123,27,5,4.0,161.4,0,2.2,30.03,36.64,100,5693,11908,10022,100,68.0,63,314,191,92.381,485.338,151.901,25,5,4,174.9,0,3.2,31.029,38.204,100,5928,12110,10133,100,66.0,68,316,192,91.063,2020.432,268.672,21,6,5,553.3,0,2.7,29.519,34.153,100,5733,12058,10102,100,68.0,69,316,194
1219,20,94.887,855.178,165.335,23,3,2,526.2,0,3.2,31.448,42.999,100,6007,12172,10130,100,64.0,68,309,188,93.017,638.65,154.405,25,3,2.0,421.7,0,2.2,30.03,36.64,100,5884,11991,10131,100,64.0,66,314,190,92.97,1204.673,196.191,16,3,2,561.5,0,3.2,31.029,38.204,100,6067,12194,10288,100,65.0,68,318,190,91.575,2072.528,270.085,21,6,5,584.9,0,2.7,29.519,34.153,100,5805,12386,10368,100,67.0,62,315,194
1219,22,94.042,607.1,155.234,25,3,2,451.4,0,3.2,31.448,42.999,100,6332,12363,10259,100,67.0,72,310,190,93.477,454.871,141.85,27,4,3.0,227.8,0,2.2,30.03,36.64,100,5297,12495,10039,100,67.0,63,308,186,92.945,712.418,166.084,18,4,3,204.8,0,3.2,31.029,38.204,100,5410,12518,10188,100,68.0,62,308,191,91.991,2161.906,402.495,10,4,3,825.1,0,2.7,29.519,34.153,100,5466,12344,10170,100,67.0,65,309,191
1219,23,94.657,1438.117,195.376,19,4,3,470.0,0,3.2,31.448,42.999,100,5681,11891,9910,100,59.0,66,311,186,95.558,150.544,121.589,5,1,,,0,2.2,30.03,36.64,100,5814,11927,9941,100,58.0,66,312,183,93.37,669.835,213.642,15,5,4,283.1,0,3.2,31.029,38.204,100,5674,11809,9905,100,61.0,66,311,188,92.668,2191.574,344.147,12,4,3,839.9,0,2.7,29.519,34.153,100,5570,12406,9986,100,60.0,67,317,188
