meeting_key,driver_num,min_lap_p1,max_lap_p1,avg_lap_p1,num_laps_p1,num_stints_p1,num_pits_p1,avg_pit_time_p1,max_brake_p1,min_rpm_p1,max_rpm_p1,avg_rpm_p1,max_throttle_p1,avg_throttle_p1,min_speed_p1,max_speed_p1,avg_speed_p1,did_rain_p1,max_wind_p1,avg_air_temp_p1,avg_track_temp_p1,min_lap_p2,max_lap_p2,avg_lap_p2,num_laps_p2,num_stints_p2,num_pits_p2,avg_pit_time_p2,max_brake_p2,min_rpm_p2,max_rpm_p2,avg_rpm_p2,max_throttle_p2,avg_throttle_p2,min_speed_p2,max_speed_p2,avg_speed_p2,did_rain_p2,max_wind_p2,avg_air_temp_p2,avg_track_temp_p2,min_lap_p3,max_lap_p3,avg_lap_p3,num_laps_p3,num_stints_p3,num_pits_p3,avg_pit_time_p3,max_brake_p3,min_rpm_p3,max_rpm_p3,avg_rpm_p3,max_throttle_p3,avg_throttle_p3,min_speed_p3,max_speed_p3,avg_speed_p3,did_rain_p3,max_wind_p3,avg_air_temp_p3,avg_track_temp_p3,min_lap_q,max_lap_q,avg_lap_q,num_laps_q,num_stints_q,num_pits_q,avg_pit_time_q,max_brake_q,min_rpm_q,max_rpm_q,avg_rpm_q,max_throttle_q,avg_throttle_q,min_speed_q,max_speed_q,avg_speed_q,did_rain_q,max_wind_q,avg_air_temp_q,avg_track_temp_q
1238,1,74.252,755.421,139.396,27,6,6,244.8,0,3.5,28.165,47.093,100,7312,11930,10568,100,76.0,102,318,225,73.504,758.083,134.658,24,5,4,346.2,0,2.9,24.865,43.052,100,7307,12066,10604,100,77.0,100,327,226,73.087,803.075,153.192,24,4,4,455.7,0,2.7,26.441,43.355,100,7328,11887,10567,100,75.0,105,322,227,71.403,1383.437,323.938,12.0,4.0,4.0,770.4,0.0,2.5,24.089,36.536,100.0,7658.0,12047.0,10752.0,100.0,79.0,104.0,330.0,233.0
1238,2,75.752,563.438,162.806,25,6,6,440.7,0,3.5,28.165,47.093,100,7706,11787,10493,100,76.0,103,312,221,75.07,546.327,122.498,28,5,5,208.0,0,2.9,24.865,43.052,100,7337,11847,10488,100,74.0,99,317,221,74.729,815.746,226.367,12,4,4,435.0,0,2.7,26.441,43.355,100,7190,12156,10553,100,76.0,101,319,224,73.509,322.281,141.49,9.0,3.0,3.0,208.6,0.0,2.5,24.089,36.536,100.0,7423.0,11956.0,10569.0,100.0,75.0,103.0,326.0,225.0
1238,3,75.58,605.956,130.777,30,6,6,372.8,0,3.5,28.165,47.093,100,7401,12444,10606,100,75.0,102,300,219,74.257,742.418,142.054,25,5,5,271.3,0,2.9,24.865,43.052,100,7409,12100,10788,100,76.0,101,326,227,74.161,1125.499,178.74,17,4,4,457.3,0,2.7,26.441,43.355,100,7617,12235,10624,100,77.0,105,315,223,73.075,257.893,127.314,9.0,3.0,3.0,136.6,0.0,2.5,24.089,36.536,100.0,7579.0,12330.0,10723.0,100.0,77.0,104.0,327.0,228.0
1238,4,74.228,746.129,142.524,27,5,5,351.7,0,3.5,28.165,47.093,100,7484,11893,10588,100,74.0,104,322,227,73.319,747.257,133.664,26,4,3,544.2,0,2.9,24.865,43.052,100,7506,12076,10682,100,75.0,108,321,228,73.043,901.18,220.556,14,4,4,504.2,0,2.7,26.441,43.355,100,7706,12028,10655,100,75.0,106,321,228,71.383,1337.016,303.476,12.0,4.0,4.0,760.6,0.0,2.5,24.089,36.536,100.0,7970.0,12244.0,10725.0,100.0,77.0,113.0,325.0,234.0
1238,10,75.484,796.631,184.796,21,5,5,425.8,0,3.5,28.165,47.093,100,7613,11808,10456,100,75.0,107,318,221,73.443,915.143,137.202,22,4,4,409.9,0,2.9,24.865,43.052,100,7661,11758,10554,100,78.0,107,319,228,73.964,912.441,223.245,14,4,4,518.6,0,2.7,26.441,43.355,100,7459,11777,10564,100,76.0,105,322,227,71.857,656.187,196.951,18.0,6.0,6.0,316.0,0.0,2.5,24.089,36.536,100.0,8172.0,11923.0,10725.0,100.0,80.0,113.0,324.0,233.0
1238,11,74.692,802.995,138.869,28,4,4,415.4,0,3.5,28.165,47.093,100,7183,11904,10549,100,77.0,99,321,226,74.081,826.557,171.57,18,5,5,415.7,0,2.9,24.865,43.052,100,7417,11993,10601,100,75.0,102,320,224,73.723,765.52,183.439,19,6,6,285.6,0,2.7,26.441,43.355,100,7296,11883,10517,100,78.0,102,321,226,72.054,735.756,200.071,18.0,6.0,6.0,348.7,0.0,2.5,24.089,36.536,100.0,7655.0,11879.0,10699.0,100.0,78.0,110.0,326.0,232.0
1238,14,75.222,913.697,151.168,26,4,4,449.1,0,3.5,28.165,47.093,100,7314,11819,10441,99,73.0,101,316,220,74.091,963.172,150.685,23,4,4,400.6,0,2.9,24.865,43.052,100,7587,11931,10591,99,75.0,104,324,225,73.786,640.981,167.14,21,7,7,215.2,0,2.7,26.441,43.355,100,7288,11919,10579,100,73.0,100,328,226,72.128,685.6,190.839,12.0,4.0,4.0,327.0,0.0,2.5,24.089,36.536,100.0,7968.0,12038.0,10827.0,99.0,77.0,111.0,327.0,232.0
1238,16,75.434,913.088,152.567,26,7,7,383.7,0,3.5,28.165,47.093,100,7652,12268,10575,100,74.0,103,321,223,73.597,613.024,128.239,19,5,4,182.1,0,2.9,24.865,43.052,100,7800,12060,10745,100,78.0,104,325,228,73.05,966.51,170.935,18,5,5,315.4,0,2.7,26.441,43.355,100,7439,12164,10756,100,77.0,105,326,230,71.731,1262.727,313.683,12.0,4.0,4.0,735.4,0.0,2.5,24.089,36.536,100.0,7413.0,12116.0,10820.0,100.0,79.0,103.0,328.0,234.0
1238,18,75.512,586.912,136.456,28,4,4,304.6,0,3.5,28.165,47.093,100,7269,12336,10560,99,76.0,99,318,222,74.402,691.025,152.195,23,5,5,282.6,0,2.9,24.865,43.052,100,7295,12283,10592,99,76.0,100,326,222,74.254,714.437,182.429,16,5,5,298.6,0,2.7,26.441,43.355,100,7101,11851,10587,99,77.0,99,324,226,72.372,434.009,156.084,15.0,5.0,5.0,215.0,0.0,2.5,24.089,36.536,100.0,7759.0,12312.0,10770.0,99.0,79.0,106.0,324.0,231.0
1238,20,75.644,604.909,135.64,30,6,6,368.5,0,3.5,28.165,47.093,100,7264,12403,10686,100,73.0,99,324,222,74.021,484.007,126.858,27,3,3,346.2,0,2.9,24.865,43.052,100,7594,12145,10713,100,74.0,103,326,225,74.074,786.143,134.643,27,4,4,363.6,0,2.7,26.441,43.355,100,7715,12530,10767,100,72.0,103,325,223,72.937,367.194,144.661,6.0,2.0,2.0,250.7,0.0,2.5,24.089,36.536,100.0,7759.0,12123.0,10817.0,100.0,76.0,106.0,328.0,228.0
