season,race,round,driver_number,driver_name,finishing_position
2023,Bahrain Grand Prix,1,33,Max Verstappen,1
2023,Bahrain Grand Prix,1,11,Sergio Pérez,2
2023,Bahrain Grand Prix,1,14,Fernando Alonso,3
2023,Bahrain Grand Prix,1,55,Carlos Sainz,4
2023,Bahrain Grand Prix,1,44,Lewis Hamilton,5
2023,Bahrain Grand Prix,1,18,Lance Stroll,6
2023,Bahrain Grand Prix,1,63,George Russell,7
2023,Bahrain Grand Prix,1,77,Valtteri Bottas,8
2023,Bahrain Grand Prix,1,10,Pierre Gasly,9
2023,Bahrain Grand Prix,1,23,Alexander Albon,10
2023,Bahrain Grand Prix,1,22,Yuki Tsunoda,11
2023,Bahrain Grand Prix,1,2,Logan Sargeant,12
2023,Bahrain Grand Prix,1,20,Kevin Magnussen,13
2023,Bahrain Grand Prix,1,21,Nyck de Vries,14
2023,Bahrain Grand Prix,1,27,Nico Hülkenberg,15
2023,Bahrain Grand Prix,1,24,Guanyu Zhou,16
2023,Bahrain Grand Prix,1,4,Lando Norris,17
2023,Bahrain Grand Prix,1,31,Esteban Ocon,18
2023,Bahrain Grand Prix,1,16,Charles Leclerc,19
2023,Bahrain Grand Prix,1,81,Oscar Piastri,20
2023,Saudi Arabian Grand Prix,2,11,Sergio Pérez,1
2023,Saudi Arabian Grand Prix,2,33,Max Verstappen,2
2023,Saudi Arabian Grand Prix,2,14,Fernando Alonso,3
2023,Saudi Arabian Grand Prix,2,63,George Russell,4
2023,Saudi Arabian Grand Prix,2,44,Lewis Hamilton,5
2023,Saudi Arabian Grand Prix,2,55,Carlos Sainz,6
2023,Saudi Arabian Grand Prix,2,16,Charles Leclerc,7
2023,Saudi Arabian Grand Prix,2,31,Esteban Ocon,8
2023,Saudi Arabian Grand Prix,2,10,Pierre Gasly,9
2023,Saudi Arabian Grand Prix,2,20,Kevin Magnussen,10
2023,Saudi Arabian Grand Prix,2,22,Yuki Tsunoda,11
2023,Saudi Arabian Grand Prix,2,27,Nico Hülkenberg,12
2023,Saudi Arabian Grand Prix,2,24,Guanyu Zhou,13
2023,Saudi Arabian Grand Prix,2,21,Nyck de Vries,14
2023,Saudi Arabian Grand Prix,2,81,Oscar Piastri,15
2023,Saudi Arabian Grand Prix,2,2,Logan Sargeant,16
2023,Saudi Arabian Grand Prix,2,4,Lando Norris,17
2023,Saudi Arabian Grand Prix,2,77,Valtteri Bottas,18
2023,Saudi Arabian Grand Prix,2,23,Alexander Albon,19
2023,Saudi Arabian Grand Prix,2,18,Lance Stroll,20
2023,Australian Grand Prix,3,33,Max Verstappen,1
2023,Australian Grand Prix,3,44,Lewis Hamilton,2
2023,Australian Grand Prix,3,14,Fernando Alonso,3
2023,Australian Grand Prix,3,18,Lance Stroll,4
2023,Australian Grand Prix,3,11,Sergio Pérez,5
2023,Australian Grand Prix,3,4,Lando Norris,6
2023,Australian Grand Prix,3,27,Nico Hülkenberg,7
2023,Australian Grand Prix,3,81,Oscar Piastri,8
2023,Australian Grand Prix,3,24,Guanyu Zhou,9
2023,Australian Grand Prix,3,22,Yuki Tsunoda,10
2023,Australian Grand Prix,3,77,Valtteri Bottas,11
2023,Australian Grand Prix,3,55,Carlos Sainz,12
2023,Australian Grand Prix,3,10,Pierre Gasly,13
2023,Australian Grand Prix,3,31,Esteban Ocon,14
2023,Australian Grand Prix,3,21,Nyck de Vries,15
2023,Australian Grand Prix,3,2,Logan Sargeant,16
2023,Australian Grand Prix,3,20,Kevin Magnussen,17
2023,Australian Grand Prix,3,63,George Russell,18
2023,Australian Grand Prix,3,23,Alexander Albon,19
2023,Australian Grand Prix,3,16,Charles Leclerc,20
2023,Azerbaijan Grand Prix,4,11,Sergio Pérez,1
2023,Azerbaijan Grand Prix,4,33,Max Verstappen,2
2023,Azerbaijan Grand Prix,4,16,Charles Leclerc,3
2023,Azerbaijan Grand Prix,4,14,Fernando Alonso,4
2023,Azerbaijan Grand Prix,4,55,Carlos Sainz,5
2023,Azerbaijan Grand Prix,4,44,Lewis Hamilton,6
2023,Azerbaijan Grand Prix,4,18,Lance Stroll,7
2023,Azerbaijan Grand Prix,4,63,George Russell,8
2023,Azerbaijan Grand Prix,4,4,Lando Norris,9
2023,Azerbaijan Grand Prix,4,22,Yuki Tsunoda,10
2023,Azerbaijan Grand Prix,4,81,Oscar Piastri,11
2023,Azerbaijan Grand Prix,4,23,Alexander Albon,12
2023,Azerbaijan Grand Prix,4,20,Kevin Magnussen,13
2023,Azerbaijan Grand Prix,4,10,Pierre Gasly,14
2023,Azerbaijan Grand Prix,4,31,Esteban Ocon,15
2023,Azerbaijan Grand Prix,4,2,Logan Sargeant,16
2023,Azerbaijan Grand Prix,4,27,Nico Hülkenberg,17
2023,Azerbaijan Grand Prix,4,77,Valtteri Bottas,18
2023,Azerbaijan Grand Prix,4,24,Guanyu Zhou,19
2023,Azerbaijan Grand Prix,4,21,Nyck de Vries,20
2023,Miami Grand Prix,5,33,Max Verstappen,1
2023,Miami Grand Prix,5,11,Sergio Pérez,2
2023,Miami Grand Prix,5,14,Fernando Alonso,3
2023,Miami Grand Prix,5,63,George Russell,4
2023,Miami Grand Prix,5,55,Carlos Sainz,5
2023,Miami Grand Prix,5,44,Lewis Hamilton,6
2023,Miami Grand Prix,5,16,Charles Leclerc,7
2023,Miami Grand Prix,5,10,Pierre Gasly,8
2023,Miami Grand Prix,5,31,Esteban Ocon,9
2023,Miami Grand Prix,5,20,Kevin Magnussen,10
2023,Miami Grand Prix,5,22,Yuki Tsunoda,11
2023,Miami Grand Prix,5,18,Lance Stroll,12
2023,Miami Grand Prix,5,77,Valtteri Bottas,13
2023,Miami Grand Prix,5,23,Alexander Albon,14
2023,Miami Grand Prix,5,27,Nico Hülkenberg,15
2023,Miami Grand Prix,5,24,Guanyu Zhou,16
2023,Miami Grand Prix,5,4,Lando Norris,17
2023,Miami Grand Prix,5,21,Nyck de Vries,18
2023,Miami Grand Prix,5,81,Oscar Piastri,19
2023,Miami Grand Prix,5,2,Logan Sargeant,20
2023,Monaco Grand Prix,6,33,Max Verstappen,1
2023,Monaco Grand Prix,6,14,Fernando Alonso,2
2023,Monaco Grand Prix,6,31,Esteban Ocon,3
2023,Monaco Grand Prix,6,44,Lewis Hamilton,4
2023,Monaco Grand Prix,6,63,George Russell,5
2023,Monaco Grand Prix,6,16,Charles Leclerc,6
2023,Monaco Grand Prix,6,10,Pierre Gasly,7
2023,Monaco Grand Prix,6,55,Carlos Sainz,8
2023,Monaco Grand Prix,6,4,Lando Norris,9
2023,Monaco Grand Prix,6,81,Oscar Piastri,10
2023,Monaco Grand Prix,6,77,Valtteri Bottas,11
2023,Monaco Grand Prix,6,21,Nyck de Vries,12
2023,Monaco Grand Prix,6,24,Guanyu Zhou,13
2023,Monaco Grand Prix,6,23,Alexander Albon,14
2023,Monaco Grand Prix,6,22,Yuki Tsunoda,15
2023,Monaco Grand Prix,6,11,Sergio Pérez,16
2023,Monaco Grand Prix,6,27,Nico Hülkenberg,17
2023,Monaco Grand Prix,6,2,Logan Sargeant,18
2023,Monaco Grand Prix,6,20,Kevin Magnussen,19
2023,Monaco Grand Prix,6,18,Lance Stroll,20
2023,Spanish Grand Prix,7,33,Max Verstappen,1
2023,Spanish Grand Prix,7,44,Lewis Hamilton,2
2023,Spanish Grand Prix,7,63,George Russell,3
2023,Spanish Grand Prix,7,11,Sergio Pérez,4
2023,Spanish Grand Prix,7,55,Carlos Sainz,5
2023,Spanish Grand Prix,7,18,Lance Stroll,6
2023,Spanish Grand Prix,7,14,Fernando Alonso,7
2023,Spanish Grand Prix,7,31,Esteban Ocon,8
2023,Spanish Grand Prix,7,24,Guanyu Zhou,9
2023,Spanish Grand Prix,7,10,Pierre Gasly,10
2023,Spanish Grand Prix,7,16,Charles Leclerc,11
2023,Spanish Grand Prix,7,22,Yuki Tsunoda,12
2023,Spanish Grand Prix,7,81,Oscar Piastri,13
2023,Spanish Grand Prix,7,21,Nyck de Vries,14
2023,Spanish Grand Prix,7,27,Nico Hülkenberg,15
2023,Spanish Grand Prix,7,23,Alexander Albon,16
2023,Spanish Grand Prix,7,4,Lando Norris,17
2023,Spanish Grand Prix,7,20,Kevin Magnussen,18
2023,Spanish Grand Prix,7,77,Valtteri Bottas,19
2023,Spanish Grand Prix,7,2,Logan Sargeant,20
2023,Canadian Grand Prix,8,33,Max Verstappen,1
2023,Canadian Grand Prix,8,14,Fernando Alonso,2
2023,Canadian Grand Prix,8,44,Lewis Hamilton,3
2023,Canadian Grand Prix,8,16,Charles Leclerc,4
2023,Canadian Grand Prix,8,55,Carlos Sainz,5
2023,Canadian Grand Prix,8,11,Sergio Pérez,6
2023,Canadian Grand Prix,8,23,Alexander Albon,7
2023,Canadian Grand Prix,8,31,Esteban Ocon,8
2023,Canadian Grand Prix,8,18,Lance Stroll,9
2023,Canadian Grand Prix,8,77,Valtteri Bottas,10
2023,Canadian Grand Prix,8,81,Oscar Piastri,11
2023,Canadian Grand Prix,8,10,Pierre Gasly,12
2023,Canadian Grand Prix,8,4,Lando Norris,13
2023,Canadian Grand Prix,8,22,Yuki Tsunoda,14
2023,Canadian Grand Prix,8,27,Nico Hülkenberg,15
2023,Canadian Grand Prix,8,24,Guanyu Zhou,16
2023,Canadian Grand Prix,8,20,Kevin Magnussen,17
2023,Canadian Grand Prix,8,21,Nyck de Vries,18
2023,Canadian Grand Prix,8,63,George Russell,19
2023,Canadian Grand Prix,8,2,Logan Sargeant,20
2023,Austrian Grand Prix,9,33,Max Verstappen,1
2023,Austrian Grand Prix,9,16,Charles Leclerc,2
2023,Austrian Grand Prix,9,11,Sergio Pérez,3
2023,Austrian Grand Prix,9,4,Lando Norris,4
2023,Austrian Grand Prix,9,14,Fernando Alonso,5
2023,Austrian Grand Prix,9,55,Carlos Sainz,6
2023,Austrian Grand Prix,9,63,George Russell,7
2023,Austrian Grand Prix,9,44,Lewis Hamilton,8
2023,Austrian Grand Prix,9,18,Lance Stroll,9
2023,Austrian Grand Prix,9,10,Pierre Gasly,10
2023,Austrian Grand Prix,9,23,Alexander Albon,11
2023,Austrian Grand Prix,9,24,Guanyu Zhou,12
2023,Austrian Grand Prix,9,2,Logan Sargeant,13
2023,Austrian Grand Prix,9,31,Esteban Ocon,14
2023,Austrian Grand Prix,9,77,Valtteri Bottas,15
2023,Austrian Grand Prix,9,81,Oscar Piastri,16
2023,Austrian Grand Prix,9,21,Nyck de Vries,17
2023,Austrian Grand Prix,9,20,Kevin Magnussen,18
2023,Austrian Grand Prix,9,22,Yuki Tsunoda,19
2023,Austrian Grand Prix,9,27,Nico Hülkenberg,20
2023,British Grand Prix,10,33,Max Verstappen,1
2023,British Grand Prix,10,4,Lando Norris,2
2023,British Grand Prix,10,44,Lewis Hamilton,3
2023,British Grand Prix,10,81,Oscar Piastri,4
2023,British Grand Prix,10,63,George Russell,5
2023,British Grand Prix,10,11,Sergio Pérez,6
2023,British Grand Prix,10,14,Fernando Alonso,7
2023,British Grand Prix,10,23,Alexander Albon,8
2023,British Grand Prix,10,16,Charles Leclerc,9
2023,British Grand Prix,10,55,Carlos Sainz,10
2023,British Grand Prix,10,2,Logan Sargeant,11
2023,British Grand Prix,10,77,Valtteri Bottas,12
2023,British Grand Prix,10,27,Nico Hülkenberg,13
2023,British Grand Prix,10,18,Lance Stroll,14
2023,British Grand Prix,10,24,Guanyu Zhou,15
2023,British Grand Prix,10,22,Yuki Tsunoda,16
