,season,race,round,driver_number,driver_name,finishing_position,meeting_key
0,2023,bahrain grand prix,1,33,Max Verstappen,1,1141
1,2023,bahrain grand prix,1,11,Sergio Pérez,2,1141
2,2023,bahrain grand prix,1,14,Fernando Alonso,3,1141
3,2023,bahrain grand prix,1,55,Carlos Sainz,4,1141
4,2023,bahrain grand prix,1,44,Lewis Hamilton,5,1141
5,2023,bahrain grand prix,1,18,Lance Stroll,6,1141
6,2023,bahrain grand prix,1,63,George Russell,7,1141
7,2023,bahrain grand prix,1,77,Valtteri Bottas,8,1141
8,2023,bahrain grand prix,1,10,Pierre Gasly,9,1141
9,2023,bahrain grand prix,1,23,Alexander Albon,10,1141
10,2023,bahrain grand prix,1,22,Yuki Tsunoda,11,1141
11,2023,bahrain grand prix,1,2,Logan Sargeant,12,1141
12,2023,bahrain grand prix,1,20,Kevin Magnussen,13,1141
13,2023,bahrain grand prix,1,21,Nyck de Vries,14,1141
14,2023,bahrain grand prix,1,27,Nico Hülkenberg,15,1141
15,2023,bahrain grand prix,1,24,Guanyu Zhou,16,1141
16,2023,bahrain grand prix,1,4,Lando Norris,17,1141
17,2023,bahrain grand prix,1,31,Esteban Ocon,18,1141
18,2023,bahrain grand prix,1,16,Charles Leclerc,19,1141
19,2023,bahrain grand prix,1,81,Oscar Piastri,20,1141
20,2023,saudi arabian grand prix,2,11,Sergio Pérez,1,1142
21,2023,saudi arabian grand prix,2,33,Max Verstappen,2,1142
22,2023,saudi arabian grand prix,2,14,Fernando Alonso,3,1142
23,2023,saudi arabian grand prix,2,63,George Russell,4,1142
24,2023,saudi arabian grand prix,2,44,Lewis Hamilton,5,1142
25,2023,saudi arabian grand prix,2,55,Carlos Sainz,6,1142
26,2023,saudi arabian grand prix,2,16,Charles Leclerc,7,1142
27,2023,saudi arabian grand prix,2,31,Esteban Ocon,8,1142
28,2023,saudi arabian grand prix,2,10,Pierre Gasly,9,1142
29,2023,saudi arabian grand prix,2,20,Kevin Magnussen,10,1142
30,2023,saudi arabian grand prix,2,22,Yuki Tsunoda,11,1142
31,2023,saudi arabian grand prix,2,27,Nico Hülkenberg,12,1142
32,2023,saudi arabian grand prix,2,24,Guanyu Zhou,13,1142
33,2023,saudi arabian grand prix,2,21,Nyck de Vries,14,1142
34,2023,saudi arabian grand prix,2,81,Oscar Piastri,15,1142
35,2023,saudi arabian grand prix,2,2,Logan Sargeant,16,1142
