,session_key,meeting_key,driver_number,date,position
0,9472,1229,1,2024-03-02T14:03:47.739000+00:00,1
1,9472,1229,2,2024-03-02T14:03:47.739000+00:00,18
2,9472,1229,3,2024-03-02T14:03:47.739000+00:00,14
3,9472,1229,4,2024-03-02T14:03:47.739000+00:00,7
4,9472,1229,10,2024-03-02T14:03:47.739000+00:00,20
5,9472,1229,11,2024-03-02T14:03:47.739000+00:00,5
6,9472,1229,14,2024-03-02T14:03:47.739000+00:00,6
7,9472,1229,16,2024-03-02T14:03:47.739000+00:00,2
8,9472,1229,18,2024-03-02T14:03:47.739000+00:00,12
9,9472,1229,20,2024-03-02T14:03:47.739000+00:00,15
10,9472,1229,22,2024-03-02T14:03:47.739000+00:00,11
11,9472,1229,23,2024-03-02T14:03:47.739000+00:00,13
12,9472,1229,24,2024-03-02T14:03:47.739000+00:00,17
13,9472,1229,27,2024-03-02T14:03:47.739000+00:00,10
14,9472,1229,31,2024-03-02T14:03:47.739000+00:00,19
15,9472,1229,44,2024-03-02T14:03:47.739000+00:00,9
16,9472,1229,55,2024-03-02T14:03:47.739000+00:00,4
17,9472,1229,63,2024-03-02T14:03:47.739000+00:00,3
18,9472,1229,77,2024-03-02T14:03:47.739000+00:00,16
19,9472,1229,81,2024-03-02T14:03:47.739000+00:00,8
20,9472,1229,11,2024-03-02T15:04:16.238000+00:00,4
21,9472,1229,55,2024-03-02T15:04:16.238000+00:00,5
22,9472,1229,22,2024-03-02T15:04:17.985000+00:00,10
23,9472,1229,27,2024-03-02T15:04:17.985000+00:00,11
24,9472,1229,18,2024-03-02T15:04:18.152000+00:00,13
25,9472,1229,23,2024-03-02T15:04:18.152000+00:00,11
26,9472,1229,27,2024-03-02T15:04:18.152000+00:00,12
27,9472,1229,3,2024-03-02T15:04:18.507000+00:00,15
28,9472,1229,18,2024-03-02T15:04:18.507000+00:00,14
29,9472,1229,20,2024-03-02T15:04:18.507000+00:00,12
30,9472,1229,27,2024-03-02T15:04:18.507000+00:00,13
31,9472,1229,3,2024-03-02T15:04:19.616000+00:00,16
32,9472,1229,18,2024-03-02T15:04:19.616000+00:00,15
33,9472,1229,24,2024-03-02T15:04:19.616000+00:00,13
34,9472,1229,27,2024-03-02T15:04:19.616000+00:00,14
35,9472,1229,77,2024-03-02T15:04:19.616000+00:00,17
36,9472,1229,3,2024-03-02T15:04:20.677000+00:00,14
37,9472,1229,18,2024-03-02T15:04:20.677000+00:00,16
38,9472,1229,27,2024-03-02T15:04:20.677000+00:00,15
39,9472,1229,2,2024-03-02T15:04:21.280000+00:00,15
40,9472,1229,18,2024-03-02T15:04:21.280000+00:00,17
41,9472,1229,27,2024-03-02T15:04:21.280000+00:00,16
42,9472,1229,77,2024-03-02T15:04:21.280000+00:00,18
43,9472,1229,18,2024-03-02T15:04:21.544000+00:00,18
44,9472,1229,27,2024-03-02T15:04:21.544000+00:00,17
45,9472,1229,31,2024-03-02T15:04:21.544000+00:00,16
46,9472,1229,77,2024-03-02T15:04:21.544000+00:00,19
47,9472,1229,10,2024-03-02T15:04:21.731000+00:00,17
48,9472,1229,18,2024-03-02T15:04:21.731000+00:00,19
49,9472,1229,27,2024-03-02T15:04:21.731000+00:00,18
50,9472,1229,77,2024-03-02T15:04:21.731000+00:00,20
51,9472,1229,18,2024-03-02T15:04:23.268000+00:00,20
52,9472,1229,77,2024-03-02T15:04:23.268000+00:00,19
53,9472,1229,27,2024-03-02T15:05:31.193000+00:00,19
54,9472,1229,77,2024-03-02T15:05:31.193000+00:00,18
55,9472,1229,18,2024-03-02T15:05:32.877000+00:00,19
56,9472,1229,27,2024-03-02T15:05:32.877000+00:00,20
57,9472,1229,2,2024-03-02T15:07:07.169000+00:00,14
58,9472,1229,3,2024-03-02T15:07:07.169000+00:00,15
59,9472,1229,16,2024-03-02T15:08:35.058000+00:00,3
60,9472,1229,63,2024-03-02T15:08:35.058000+00:00,2
61,9472,1229,4,2024-03-02T15:08:40.628000+00:00,6
62,9472,1229,14,2024-03-02T15:08:40.628000+00:00,7
63,9472,1229,14,2024-03-02T15:11:57.638000+00:00,8
64,9472,1229,81,2024-03-02T15:11:57.638000+00:00,7
65,9472,1229,18,2024-03-02T15:12:06.338000+00:00,18
66,9472,1229,77,2024-03-02T15:12:06.338000+00:00,19
67,9472,1229,11,2024-03-02T15:15:08.075000+00:00,3
68,9472,1229,16,2024-03-02T15:15:08.075000+00:00,4
69,9472,1229,2,2024-03-02T15:18:39.989000+00:00,13
70,9472,1229,24,2024-03-02T15:18:39.989000+00:00,14
71,9472,1229,3,2024-03-02T15:18:40.795000+00:00,14
72,9472,1229,24,2024-03-02T15:18:40.795000+00:00,15
73,9472,1229,24,2024-03-02T15:18:41.340000+00:00,16
74,9472,1229,31,2024-03-02T15:18:41.340000+00:00,15
75,9472,1229,18,2024-03-02T15:18:43.373000+00:00,19
76,9472,1229,77,2024-03-02T15:18:43.373000+00:00,18
77,9472,1229,14,2024-03-02T15:20:09.948000+00:00,9
78,9472,1229,44,2024-03-02T15:20:09.948000+00:00,8
79,9472,1229,2,2024-03-02T15:20:19.592000+00:00,14
80,9472,1229,3,2024-03-02T15:20:19.592000+00:00,13
81,9472,1229,2,2024-03-02T15:20:20.748000+00:00,15
82,9472,1229,10,2024-03-02T15:20:20.748000+00:00,14
83,9472,1229,24,2024-03-02T15:20:20.748000+00:00,17
84,9472,1229,31,2024-03-02T15:20:20.748000+00:00,16
85,9472,1229,2,2024-03-02T15:20:22.466000+00:00,16
86,9472,1229,24,2024-03-02T15:20:22.466000+00:00,18
87,9472,1229,31,2024-03-02T15:20:22.466000+00:00,17
88,9472,1229,77,2024-03-02T15:20:22.466000+00:00,15
89,9472,1229,2,2024-03-02T15:20:22.824000+00:00,17
90,9472,1229,31,2024-03-02T15:20:22.824000+00:00,16
91,9472,1229,2,2024-03-02T15:20:41.091000+00:00,18
92,9472,1229,24,2024-03-02T15:20:41.091000+00:00,17
93,9472,1229,2,2024-03-02T15:20:42.802000+00:00,19
94,9472,1229,18,2024-03-02T15:20:42.802000+00:00,18
95,9472,1229,2,2024-03-02T15:20:49.151000+00:00,20
96,9472,1229,27,2024-03-02T15:20:49.151000+00:00,19
97,9472,1229,11,2024-03-02T15:21:38.999000+00:00,2
98,9472,1229,63,2024-03-02T15:21:38.999000+00:00,3
99,9472,1229,16,2024-03-02T15:21:40.496000+00:00,5
100,9472,1229,55,2024-03-02T15:21:40.496000+00:00,3
101,9472,1229,63,2024-03-02T15:21:40.496000+00:00,4
